Points	Elapse Time	Scan Time	Load	Disp	Axial1_Cmd	
1	0.0000	0.0000	4.994	-59.04	5.001	
2	0.0240	0.0240	4.993	-59.04	5.013	
3	0.0480	0.0480	5.010	-59.03	5.025	
4	0.0720	0.0720	5.032	-59.04	5.037	
5	0.0960	0.0960	5.046	-59.03	5.049	
6	0.1200	0.1200	5.047	-59.04	5.061	
7	0.1440	0.1440	5.045	-59.04	5.073	
8	0.1680	0.1680	5.071	-59.02	5.085	
9	0.1920	0.1920	5.098	-59.03	5.097	
10	0.2160	0.2160	5.102	-59.03	5.109	
11	0.2400	0.2400	5.104	-59.03	5.121	
12	0.2640	0.2640	5.112	-59.03	5.133	
13	0.2880	0.2880	5.132	-59.03	5.145	
14	0.3120	0.3120	5.158	-59.02	5.157	
15	0.3360	0.3360	5.166	-59.03	5.169	
16	0.3600	0.3600	5.161	-59.03	5.181	
17	0.3840	0.3840	5.171	-59.03	5.193	
18	0.4080	0.4080	5.196	-59.03	5.205	
19	0.4320	0.4320	5.210	-59.02	5.217	
20	0.4560	0.4560	5.226	-59.03	5.229	
21	0.4800	0.4800	5.232	-59.02	5.241	
22	0.5040	0.5040	5.232	-59.02	5.253	
23	0.5280	0.5280	5.248	-59.03	5.265	
24	0.5520	0.5520	5.275	-59.02	5.277	
25	0.5760	0.5760	5.286	-59.02	5.289	
26	0.6000	0.6000	5.289	-59.02	5.301	
27	0.6240	0.6240	5.296	-59.02	5.313	
28	0.6480	0.6480	5.322	-59.01	5.325	
29	0.6720	0.6720	5.331	-59.02	5.337	
30	0.6960	0.6960	5.345	-59.02	5.349	
31	0.7200	0.7200	5.347	-59.02	5.361	
32	0.7440	0.7440	5.354	-59.03	5.373	
33	0.7680	0.7680	5.370	-59.03	5.385	
34	0.7920	0.7920	5.397	-59.02	5.397	
35	0.8160	0.8160	5.406	-59.02	5.409	
36	0.8400	0.8400	5.406	-59.03	5.421	
37	0.8640	0.8640	5.418	-59.02	5.433	
38	0.8880	0.8880	5.436	-59.02	5.445	
39	0.9120	0.9120	5.449	-59.03	5.457	
40	0.9360	0.9360	5.465	-59.02	5.469	
41	0.9600	0.9600	5.468	-59.02	5.481	
42	0.9840	0.9840	5.471	-59.02	5.493	
43	1.0080	1.0080	5.493	-59.02	5.505	
44	1.0320	1.0320	5.517	-59.02	5.517	
45	1.0560	1.0560	5.525	-59.02	5.529	
46	1.0800	1.0800	5.531	-59.02	5.541	
47	1.1040	1.1040	5.536	-59.01	5.553	
48	1.1280	1.1280	5.550	-59.02	5.565	
49	1.1520	1.1520	5.575	-59.01	5.577	
50	1.1760	1.1760	5.591	-59.02	5.589	
51	1.2000	1.2000	5.588	-59.01	5.601	
52	1.2240	1.2240	5.587	-59.02	5.613	
53	1.2480	1.2480	5.616	-59.01	5.625	
54	1.2720	1.2720	5.634	-59.00	5.637	
55	1.2960	1.2960	5.642	-59.02	5.649	
56	1.3200	1.3200	5.652	-59.01	5.661	
57	1.3440	1.3440	5.658	-59.01	5.673	
58	1.3680	1.3680	5.661	-59.01	5.685	
59	1.3920	1.3920	5.690	-59.01	5.697	
60	1.4160	1.4160	5.719	-59.02	5.709	
61	1.4400	1.4400	5.708	-59.01	5.721	
62	1.4640	1.4640	5.709	-59.01	5.733	
63	1.4880	1.4880	5.732	-59.01	5.745	
64	1.5120	1.5120	5.752	-59.01	5.757	
65	1.5360	1.5360	5.767	-59.02	5.769	
66	1.5600	1.5600	5.769	-59.01	5.781	
67	1.5840	1.5840	5.781	-59.01	5.793	
68	1.6080	1.6080	5.780	-59.02	5.805	
69	1.6320	1.6320	5.815	-59.00	5.817	
70	1.6560	1.6560	5.827	-59.01	5.829	
71	1.6800	1.6800	5.829	-59.01	5.841	
72	1.7040	1.7040	5.840	-59.01	5.853	
73	1.7280	1.7280	5.854	-59.01	5.865	
74	1.7520	1.7520	5.864	-59.01	5.877	
75	1.7760	1.7760	5.894	-59.00	5.889	
76	1.8000	1.8000	5.896	-59.01	5.901	
77	1.8240	1.8240	5.887	-59.01	5.913	
78	1.8480	1.8480	5.906	-59.01	5.925	
79	1.8720	1.8720	5.930	-59.01	5.937	
80	1.8960	1.8960	5.947	-59.01	5.949	
81	1.9200	1.9200	5.953	-59.01	5.961	
82	1.9440	1.9440	5.956	-59.00	5.973	
83	1.9680	1.9680	5.970	-59.01	5.985	
84	1.9920	1.9920	5.988	-59.01	5.997	
85	2.0160	2.0160	6.012	-59.00	6.009	
86	2.0400	2.0400	6.014	-59.01	6.021	
87	2.0640	2.0640	6.012	-59.01	6.033	
88	2.0880	2.0880	6.026	-59.00	6.045	
89	2.1120	2.1120	6.051	-59.01	6.057	
90	2.1360	2.1360	6.064	-59.00	6.069	
91	2.1600	2.1600	6.080	-59.00	6.081	
92	2.1840	2.1840	6.081	-59.00	6.093	
93	2.2080	2.2080	6.084	-59.00	6.105	
94	2.2320	2.2320	6.104	-59.01	6.117	
95	2.2560	2.2560	6.134	-58.99	6.129	
96	2.2800	2.2800	6.131	-59.01	6.141	
97	2.3040	2.3040	6.131	-59.00	6.153	
98	2.3280	2.3280	6.155	-59.00	6.165	
99	2.3520	2.3520	6.165	-59.00	6.177	
100	2.3760	2.3760	6.186	-59.01	6.189	
101	2.4000	2.4000	6.197	-59.00	6.201	
102	2.4240	2.4240	6.204	-59.00	6.213	
103	2.4480	2.4480	6.202	-59.00	6.225	
104	2.4720	2.4720	6.229	-58.99	6.237	
105	2.4960	2.4960	6.252	-59.00	6.249	
106	2.5200	2.5200	6.252	-59.00	6.261	
107	2.5440	2.5440	6.249	-59.00	6.273	
108	2.5680	2.5680	6.271	-59.00	6.285	
109	2.5920	2.5920	6.285	-58.99	6.297	
110	2.6160	2.6160	6.305	-59.00	6.309	
111	2.6400	2.6400	6.322	-59.00	6.321	
112	2.6640	2.6640	6.315	-59.00	6.333	
113	2.6880	2.6880	6.317	-58.99	6.345	
114	2.7120	2.7120	6.348	-58.99	6.357	
115	2.7360	2.7360	6.371	-59.00	6.369	
116	2.7600	2.7600	6.371	-58.99	6.381	
117	2.7840	2.7840	6.381	-59.00	6.393	
118	2.8080	2.8080	6.389	-58.99	6.405	
119	2.8320	2.8320	6.400	-58.99	6.417	
120	2.8560	2.8560	6.433	-59.00	6.429	
121	2.8800	2.8800	6.441	-58.99	6.441	
122	2.9040	2.9040	6.431	-58.99	6.453	
123	2.9280	2.9280	6.442	-59.00	6.465	
124	2.9520	2.9520	6.470	-58.99	6.477	
125	2.9760	2.9760	6.485	-59.00	6.489	
126	3.0000	3.0000	6.498	-58.99	6.501	
127	3.0240	3.0240	6.496	-58.99	6.513	
128	3.0480	3.0480	6.510	-58.99	6.525	
129	3.0720	3.0720	6.521	-58.98	6.537	
130	3.0960	3.0960	6.550	-58.99	6.549	
131	3.1200	3.1200	6.557	-58.99	6.561	
132	3.1440	3.1440	6.558	-59.00	6.573	
133	3.1680	3.1680	6.568	-58.99	6.585	
134	3.1920	3.1920	6.586	-58.99	6.597	
135	3.2160	3.2160	6.603	-59.00	6.609	
136	3.2400	3.2400	6.621	-58.99	6.621	
137	3.2640	3.2640	6.620	-58.99	6.633	
138	3.2880	3.2880	6.626	-58.98	6.645	
139	3.3120	3.3120	6.640	-58.99	6.657	
140	3.3360	3.3360	6.669	-58.99	6.669	
141	3.3600	3.3600	6.677	-58.99	6.681	
142	3.3840	3.3840	6.680	-58.99	6.693	
143	3.4080	3.4080	6.686	-58.98	6.705	
144	3.4320	3.4320	6.704	-58.99	6.717	
145	3.4560	3.4560	6.723	-58.98	6.729	
146	3.4800	3.4800	6.743	-58.99	6.741	
147	3.5040	3.5040	6.739	-58.98	6.753	
148	3.5280	3.5280	6.740	-58.98	6.765	
149	3.5520	3.5520	6.766	-58.99	6.777	
150	3.5760	3.5760	6.786	-58.98	6.789	
151	3.6000	3.6000	6.793	-58.99	6.801	
152	3.6240	3.6240	6.809	-58.98	6.813	
153	3.6480	3.6480	6.804	-58.98	6.825	
154	3.6720	3.6720	6.816	-58.99	6.837	
155	3.6960	3.6960	6.850	-58.98	6.849	
156	3.7200	3.7200	6.864	-58.99	6.861	
157	3.7440	3.7440	6.856	-58.98	6.873	
158	3.7680	3.7680	6.861	-58.98	6.885	
159	3.7920	3.7920	6.886	-58.98	6.897	
160	3.8160	3.8160	6.903	-58.98	6.909	
161	3.8400	3.8400	6.919	-58.98	6.921	
162	3.8640	3.8640	6.927	-58.98	6.933	
163	3.8880	3.8880	6.925	-58.98	6.945	
164	3.9120	3.9120	6.934	-58.97	6.957	
165	3.9360	3.9360	6.969	-58.97	6.969	
166	3.9600	3.9600	6.980	-58.98	6.981	
167	3.9840	3.9840	6.979	-58.98	6.993	
168	4.0080	4.0080	6.986	-58.98	7.005	
169	4.0320	4.0320	7.007	-58.97	7.017	
170	4.0560	4.0560	7.018	-58.97	7.029	
171	4.0800	4.0800	7.038	-58.98	7.041	
172	4.1040	4.1040	7.045	-58.97	7.053	
173	4.1280	4.1280	7.046	-58.98	7.065	
174	4.1520	4.1520	7.056	-58.97	7.077	
175	4.1760	4.1760	7.089	-58.97	7.089	
176	4.2000	4.2000	7.095	-58.98	7.101	
177	4.2240	4.2240	7.100	-58.97	7.113	
178	4.2480	4.2480	7.109	-58.98	7.125	
179	4.2720	4.2720	7.118	-58.97	7.137	
180	4.2960	4.2960	7.139	-58.97	7.149	
181	4.3200	4.3200	7.167	-58.98	7.161	
182	4.3440	4.3440	7.168	-58.98	7.173	
183	4.3680	4.3680	7.162	-58.97	7.185	
184	4.3920	4.3920	7.182	-58.96	7.197	
185	4.4160	4.4160	7.203	-58.96	7.209	
186	4.4400	4.4400	7.213	-58.97	7.221	
187	4.4640	4.4640	7.230	-58.97	7.233	
188	4.4880	4.4880	7.234	-58.96	7.245	
189	4.5120	4.5120	7.232	-58.97	7.257	
